                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.81,                 5.1575,                 1.2197,                0.00119,                  0.285,                 0.0012,                0.00054,                 1.3508,                  4.538,                 1.0383,             0.00013336,             0.00013336,             0.00013336
                      2,                 1.7066,                 4.4394,                 1.0835,                 0.0024,                   0.58,                 0.0038,                0.00226,                 1.6001,                 4.5104,                  1.087,             0.00026936,             0.00026936,             0.00026936
                      3,                 1.5606,                 2.9428,                 1.0285,                0.00115,                    0.3,                0.00362,                 0.0031,                 1.3517,                 4.3628,                0.97027,             0.00039051,             0.00039051,             0.00039051
                      4,                 1.6722,                 3.0805,                  1.151,                0.00069,                   0.19,                0.00043,                 0.0003,                 1.2702,                 4.2138,                0.94577,             0.00049681,             0.00049681,             0.00049681
                      5,                 1.4039,                 2.3965,                 1.0466,                0.00063,                   0.17,                 0.0017,                0.00144,                 1.5235,                 4.3858,                 1.0625,             0.00058825,             0.00058825,             0.00058825
                      6,                 1.5364,                 2.4517,                 1.0682,                0.00071,                   0.19,                0.02301,                0.01831,                 1.4059,                  4.146,                  1.042,             0.00066484,             0.00066484,             0.00066484
                      7,                 1.5199,                 2.3766,                 1.0558,                  0.867,                  0.025,                 0.0232,                0.01842,                 1.4008,                  4.006,                 1.0395,             0.00072658,             0.00072658,             0.00072658
                      8,                 1.4918,                 2.2151,                 1.0936,                      1,                0.06614,                 0.3616,                0.21029,                 1.4637,                 3.6395,                 1.0305,             0.00077346,             0.00077346,             0.00077346
                      9,                 1.4945,                 2.0574,                 1.0675,                      1,                0.09531,                0.54911,                0.35791,                 1.3485,                 3.2528,                0.98797,             0.00080549,             0.00080549,             0.00080549
                     10,                  1.404,                  2.166,                  1.086,                0.73505,                0.27611,                0.54129,                0.32832,                 1.3617,                 2.8376,                 1.0368,             0.00082267,             0.00082267,             0.00082267
