                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.81,                 5.1575,                 1.2197,                0.00119,                  0.285,                 0.0012,                0.00054,                 1.3508,                  4.538,                 1.0383,             0.00013336,             0.00013336,             0.00013336
                      2,                 1.7066,                 4.4394,                 1.0835,                 0.0024,                   0.58,                 0.0038,                0.00226,                 1.6001,                 4.5104,                  1.087,             0.00026936,             0.00026936,             0.00026936
                      3,                 1.5606,                 2.9428,                 1.0285,                0.00115,                    0.3,                0.00362,                 0.0031,                 1.3517,                 4.3628,                0.97027,             0.00039051,             0.00039051,             0.00039051
                      4,                 1.6722,                 3.0805,                  1.151,                0.00069,                   0.19,                0.00043,                 0.0003,                 1.2702,                 4.2138,                0.94577,             0.00049681,             0.00049681,             0.00049681
                      5,                 1.4039,                 2.3965,                 1.0466,                0.00063,                   0.17,                 0.0017,                0.00144,                 1.5235,                 4.3858,                 1.0625,             0.00058825,             0.00058825,             0.00058825
                      6,                 1.5364,                 2.4517,                 1.0682,                0.00071,                   0.19,                0.02301,                0.01831,                 1.4059,                  4.146,                  1.042,             0.00066484,             0.00066484,             0.00066484
                      7,                 1.5199,                 2.3766,                 1.0558,                  0.867,                  0.025,                 0.0232,                0.01842,                 1.4008,                  4.006,                 1.0395,             0.00072658,             0.00072658,             0.00072658
                      8,                 1.4918,                 2.2151,                 1.0936,                      1,                0.06614,                 0.3616,                0.21029,                 1.4637,                 3.6395,                 1.0305,             0.00077346,             0.00077346,             0.00077346
                      9,                 1.4945,                 2.0574,                 1.0675,                      1,                0.09531,                0.54911,                0.35791,                 1.3485,                 3.2528,                0.98797,             0.00080549,             0.00080549,             0.00080549
                     10,                  1.404,                  2.166,                  1.086,                0.73505,                0.27611,                0.54129,                0.32832,                 1.3617,                 2.8376,                 1.0368,             0.00082267,             0.00082267,             0.00082267
                     11,                  1.388,                 2.5809,                 1.0706,                0.74779,                0.41196,                0.56677,                0.34145,                 1.4005,                 2.5149,                 1.0253,               0.000825,               0.000825,               0.000825
                     12,                 1.5274,                 2.8335,                 1.0988,                0.60271,                  0.465,                0.52234,                0.31834,                 1.4001,                 2.2692,                 1.0124,             0.00075932,             0.00075932,             0.00075932
                     13,                 1.5167,                 2.7174,                 1.0555,                0.67773,                0.59955,                 0.6174,                0.34701,                 1.4036,                 2.1509,                 1.0288,              0.0006768,              0.0006768,              0.0006768
                     14,                 1.5138,                 2.5224,                 1.0751,                0.52751,                0.64869,                0.46501,                0.25332,                   1.39,                 2.2762,                 1.0186,             0.00059429,             0.00059429,             0.00059429
                     15,                 1.3961,                  2.272,                 1.0429,                0.66974,                0.65684,                 0.6642,                0.36659,                 1.3863,                 1.9175,                 1.0072,             0.00051177,             0.00051177,             0.00051177
                     16,                 1.4142,                  2.161,                 1.0514,                0.65114,                0.69772,                0.66147,                0.39496,                 1.2975,                 1.8392,                0.97926,             0.00042925,             0.00042925,             0.00042925
                     17,                  1.413,                 2.3077,                 1.0327,                0.81409,                0.67075,                0.72758,                0.44251,                 1.2619,                 1.7737,                0.95465,             0.00034674,             0.00034674,             0.00034674
                     18,                 1.3191,                 2.2555,                0.99591,                0.81348,                0.74498,                0.76164,                0.45303,                 1.2751,                 1.6499,                0.95354,             0.00026422,             0.00026422,             0.00026422
                     19,                 1.3856,                 2.1708,                0.98643,                0.81092,                  0.745,                0.77324,                0.45482,                 1.2825,                 1.5978,                0.95489,              0.0001817,              0.0001817,              0.0001817
                     20,                 1.3081,                  2.025,                 0.9724,                0.82374,                   0.77,                0.78671,                0.46216,                 1.3146,                 1.5968,                0.96237,             9.9187e-05,             9.9187e-05,             9.9187e-05
